code;libelle français;libelle anglais
COM-02151;"Cerny-lès-Bucy";"undefined"
COM-01136;"Cruzilles-lès-Mépillat";"undefined"
COM-02152;"Cerseuil";"undefined"
COM-01138;"Culoz-Béon";"undefined"
COM-02153;"Cessières-Suzy";"undefined"
COM-02154;"Chacrise";"undefined"
COM-01139;"Curciat-Dongalon";"undefined"
COM-02155;"Chaillevois";"undefined"
COM-02156;"Chalandry";"undefined"
COM-01140;"Curtafond";"undefined"
COM-02157;"Chambry";"undefined"
COM-01141;"Cuzieu";"undefined"
COM-02158;"Chamouille";"undefined"
COM-01142;"Dagneux";"undefined"
COM-02159;"Champs";"undefined"
COM-02160;"Chaourse";"undefined"
COM-01143;"Divonne-les-Bains";"undefined"
COM-02162;"La Chapelle-sur-Chézy";"undefined"
COM-01145;"Dompierre-sur-Veyle";"undefined"
COM-02163;"Charly-sur-Marne";"undefined"
COM-01146;"Dompierre-sur-Chalaronne";"undefined"
COM-02164;"Le Charmel";"undefined"
COM-01147;"Domsure";"undefined"
COM-02165;"Charmes";"undefined"
COM-01148;"Dortan";"undefined"
COM-02166;"Chartèves";"undefined"
COM-01149;"Douvres";"undefined"
COM-02167;"Chassemy";"undefined"
COM-01150;"Drom";"undefined"
COM-02168;"Château-Thierry";"undefined"
COM-01151;"Druillat";"undefined"
COM-02169;"Châtillon-lès-Sons";"undefined"
COM-01152;"Échallon";"undefined"
COM-02170;"Châtillon-sur-Oise";"undefined"
COM-02171;"Chaudardes";"undefined"
COM-01153;"Échenevex";"undefined"
COM-01155;"Évosges";"undefined"
COM-02172;"Chaudun";"undefined"
COM-01156;"Faramans";"undefined"
COM-02173;"Chauny";"undefined"
COM-01157;"Fareins";"undefined"
COM-02174;"Chavignon";"undefined"
COM-02175;"Chavigny";"undefined"
COM-01158;"Farges";"undefined"
COM-02176;"Chavonne";"undefined"
COM-01159;"Feillens";"undefined"
COM-02177;"Chérêt";"undefined"
COM-01160;"Ferney-Voltaire";"undefined"
COM-02178;"Chermizy-Ailles";"undefined"
COM-01162;"Flaxieu";"undefined"
COM-02179;"Chéry-Chartreuve";"undefined"
COM-01163;"Foissiat";"undefined"
COM-02180;"Chéry-lès-Pouilly";"undefined"
COM-01165;"Francheleins";"undefined"
COM-02181;"Chéry-lès-Rozoy";"undefined"
COM-01166;"Frans";"undefined"
COM-02182;"Chevennes";"undefined"
COM-01167;"Garnerans";"undefined"
COM-02183;"Chevregny";"undefined"
COM-01169;"Genouilleux";"undefined"
COM-02184;"Chevresis-Monceau";"undefined"
COM-01170;"Béard-Géovreissiat";"undefined"
COM-02185;"Chézy-en-Orxois";"undefined"
COM-01171;"Géovreisset";"undefined"
COM-01173;"Gex";"undefined"
COM-02186;"Chézy-sur-Marne";"undefined"
COM-01174;"Giron";"undefined"
COM-01175;"Gorrevod";"undefined"
COM-02187;"Chierry";"undefined"
COM-01177;"Grand-Corent";"undefined"
COM-01179;"Grièges";"undefined"
COM-02188;"Chigny";"undefined"
COM-01180;"Grilly";"undefined"
COM-02189;"Chivres-en-Laonnois";"undefined"
COM-01181;"Groissiat";"undefined"
COM-02190;"Chivres-Val";"undefined"
COM-01183;"Guéreins";"undefined"
COM-02191;"Chivy-lès-Étouvelles";"undefined"
COM-01184;"Hautecourt-Romanèche";"undefined"
COM-02192;"Chouy";"undefined"
COM-01185;"Plateau d'Hauteville";"undefined"
COM-02193;"Cierges";"undefined"
COM-01187;"Haut Valromey";"undefined"
COM-02194;"Cilly";"undefined"
COM-01188;"Illiat";"undefined"
COM-02195;"Ciry-Salsogne";"undefined"
COM-01189;"Injoux-Génissiat";"undefined"
COM-02196;"Clacy-et-Thierret";"undefined"
COM-01190;"Innimond";"undefined"
COM-02636;"Regny";"undefined"
COM-02197;"Clairfontaine";"undefined"
COM-01191;"Izenave";"undefined"
COM-02198;"Clamecy";"undefined"
COM-02637;"Remaucourt";"undefined"
COM-02199;"Clastres";"undefined"
COM-01192;"Izernore";"undefined"
COM-02638;"Remies";"undefined"
COM-02200;"Clermont-les-Fermes";"undefined"
COM-01193;"Izieu";"undefined"
COM-02639;"Remigny";"undefined"
COM-02201;"Cœuvres-et-Valsery";"undefined"
COM-01194;"Jassans-Riottier";"undefined"
COM-02203;"Coincy";"undefined"
COM-01195;"Jasseron";"undefined"
COM-02640;"Renansart";"undefined"
COM-02204;"Coingt";"undefined"
COM-01196;"Jayat";"undefined"
COM-02641;"Renneval";"undefined"
COM-02205;"Colligis-Crandelain";"undefined"
COM-01197;"Journans";"undefined"
COM-02642;"Résigny";"undefined"
COM-02206;"Colonfay";"undefined"
COM-01198;"Joyeux";"undefined"
COM-02643;"Ressons-le-Long";"undefined"
COM-02207;"Commenchon";"undefined"
COM-01199;"Jujurieux";"undefined"
COM-02644;"Retheuil";"undefined"
COM-02208;"Concevreux";"undefined"
COM-01200;"Labalme";"undefined"
COM-02645;"Reuilly-Sauvigny";"undefined"
COM-02209;"Condé-en-Brie";"undefined"
COM-01202;"Lagnieu";"undefined"
COM-02647;"Ribeauville";"undefined"
COM-02210;"Condé-sur-Aisne";"undefined"
COM-01203;"Laiz";"undefined"
COM-02648;"Ribemont";"undefined"
COM-02211;"Condé-sur-Suippe";"undefined"
COM-01204;"Le Poizat-Lalleyriat";"undefined"
COM-02649;"Rocourt-Saint-Martin";"undefined"
COM-02212;"Condren";"undefined"
COM-01206;"Lantenay";"undefined"
COM-02650;"Rocquigny";"undefined"
COM-02213;"Connigis";"undefined"
COM-01207;"Lapeyrouse";"undefined"
COM-02651;"Rogécourt";"undefined"
COM-02214;"Contescourt";"undefined"
COM-01208;"Lavours";"undefined"
COM-02652;"Rogny";"undefined"
COM-02215;"Corbeny";"undefined"
COM-01209;"Léaz";"undefined"
COM-02653;"Romeny-sur-Marne";"undefined"
COM-02216;"Corcy";"undefined"
COM-01210;"Lélex";"undefined"
COM-02654;"Romery";"undefined"
COM-02217;"Coucy-le-Château-Auffrique";"undefined"
COM-01211;"Lent";"undefined"
COM-02655;"Ronchères";"undefined"
COM-02218;"Coucy-lès-Eppes";"undefined"
COM-01212;"Lescheroux";"undefined"
COM-02656;"Roucy";"undefined"
COM-01213;"Leyment";"undefined"
COM-02219;"Coucy-la-Ville";"undefined"
COM-01214;"Leyssard";"undefined"
COM-02220;"Coulonges-Cohan";"undefined"
COM-02657;"Rougeries";"undefined"
COM-02221;"Coupru";"undefined"
COM-01215;"Surjoux-Lhopital";"undefined"
COM-02658;"Roupy";"undefined"
COM-02222;"Courbes";"undefined"
COM-01216;"Lhuis";"undefined"
COM-02659;"Rouvroy";"undefined"
COM-02223;"Courboin";"undefined"
COM-01219;"Lompnas";"undefined"
COM-02660;"Rouvroy-sur-Serre";"undefined"
COM-01224;"Loyettes";"undefined"
COM-02224;"Courcelles-sur-Vesle";"undefined"
COM-02661;"Royaucourt-et-Chailvet";"undefined"
COM-01225;"Lurcy";"undefined"
COM-02225;"Courchamps";"undefined"
COM-02662;"Rozet-Saint-Albin";"undefined"
COM-01227;"Magnieu";"undefined"
COM-02226;"Courmelles";"undefined"
COM-02663;"Rozières-sur-Crise";"undefined"
COM-01228;"Maillat";"undefined"
COM-02227;"Courmont";"undefined"
COM-01229;"Malafretaz";"undefined"
COM-02664;"Rozoy-Bellevalle";"undefined"
COM-02228;"Courtemont-Varennes";"undefined"
COM-01230;"Mantenay-Montlin";"undefined"
COM-02665;"Grand-Rozoy";"undefined"
COM-02229;"Courtrizy-et-Fussigny";"undefined"
COM-01231;"Manziat";"undefined"
COM-02666;"Rozoy-sur-Serre";"undefined"
COM-02230;"Couvrelles";"undefined"
COM-01232;"Marboz";"undefined"
COM-02667;"Saconin-et-Breuil";"undefined"
COM-02231;"Couvron-et-Aumencourt";"undefined"
COM-01233;"Marchamp";"undefined"
COM-02668;"Sains-Richaumont";"undefined"
COM-02232;"Coyolles";"undefined"
COM-01234;"Marignieu";"undefined"
COM-02670;"Saint-Algis";"undefined"
COM-02233;"Cramaille";"undefined"
COM-01235;"Marlieux";"undefined"
COM-02234;"Craonne";"undefined"
COM-02671;"Saint-Aubin";"undefined"
COM-02235;"Craonnelle";"undefined"
COM-01236;"Marsonnas";"undefined"
COM-02672;"Saint-Bandry";"undefined"
COM-02236;"Crécy-au-Mont";"undefined"
COM-01237;"Martignat";"undefined"
COM-02673;"Saint-Christophe-à-Berry";"undefined"
COM-02237;"Crécy-sur-Serre";"undefined"
COM-01238;"Massieux";"undefined"
COM-02674;"Saint-Clément";"undefined"
COM-02238;"Crépy";"undefined"
COM-02675;"Sainte-Croix";"undefined"
COM-01239;"Massignieu-de-Rives";"undefined"
COM-02239;"Crézancy";"undefined"
COM-02676;"Saint-Erme-Outre-et-Ramecourt";"undefined"
COM-01240;"Matafelon-Granges";"undefined"
COM-02240;"Croix-Fonsomme";"undefined"
COM-02677;"Saint-Eugène";"undefined"
COM-01241;"Meillonnas";"undefined"
COM-02241;"La Croix-sur-Ourcq";"undefined"
COM-02678;"Sainte-Geneviève";"undefined"
COM-01242;"Mérignat";"undefined"
COM-02242;"Crouttes-sur-Marne";"undefined"
COM-02679;"Saint-Gengoulph";"undefined"
COM-01243;"Messimy-sur-Saône";"undefined"
COM-02243;"Crouy";"undefined"
COM-02680;"Saint-Gobain";"undefined"
COM-01244;"Meximieux";"undefined"
COM-02244;"Crupilly";"undefined"
COM-01245;"Bohas-Meyriat-Rignat";"undefined"
COM-02681;"Saint-Gobert";"undefined"
COM-02245;"Cuffies";"undefined"
COM-01246;"Mézériat";"undefined"
COM-02682;"Saint-Mard";"undefined"
COM-02246;"Cugny";"undefined"
COM-01247;"Mijoux";"undefined"
COM-02248;"Cuirieux";"undefined"
COM-02683;"Saint-Martin-Rivière";"undefined"
COM-01248;"Mionnay";"undefined"
COM-02249;"Cuiry-Housse";"undefined"
COM-02684;"Saint-Michel";"undefined"
COM-01249;"Miribel";"undefined"
COM-02250;"Cuiry-lès-Chaudardes";"undefined"
COM-01250;"Misérieux";"undefined"
COM-02685;"Saint-Nicolas-aux-Bois";"undefined"
COM-02251;"Cuiry-lès-Iviers";"undefined"
COM-01252;"Mogneneins";"undefined"
COM-02686;"Saint-Paul-aux-Bois";"undefined"
COM-02252;"Cuissy-et-Geny";"undefined"
COM-01254;"Montagnat";"undefined"
COM-02687;"Saint-Pierre-Aigle";"undefined"
COM-02253;"Cuisy-en-Almont";"undefined"
COM-01255;"Montagnieu";"undefined"
COM-02688;"Saint-Pierre-lès-Franqueville";"undefined"
COM-02254;"Cutry";"undefined"
COM-01257;"Montanges";"undefined"
COM-02689;"Saint-Pierremont";"undefined"
COM-02255;"Cys-la-Commune";"undefined"
COM-01258;"Montceaux";"undefined"
COM-02690;"Sainte-Preuve";"undefined"
COM-02256;"Dagny-Lambercy";"undefined"
COM-01259;"Montcet";"undefined"
COM-02691;"Saint-Quentin";"undefined"
COM-01260;"Le Montellier";"undefined"
COM-02257;"Dallon";"undefined"
COM-02693;"Saint-Rémy-Blanzy";"undefined"
COM-01261;"Monthieux";"undefined"
COM-02258;"Dammard";"undefined"
