code;libelle français;libelle anglais
A;"Services pour les particuliers";"Particular services"
B;"Commerces";"Shops"
C;"Enseignement";"Education"
D;"Santé et action sociale";"Health and social action"
E;"Transports et déplacements";"Transport and travel"
F;"Sports, loisirs et culture";"Sports, leisure and culture"
G;"Tourisme";"Tourism"
_T;"Total";"Total"
