code;libelle français;libelle anglais
Y_LT25;"Moins de 25 ans";"Less than 25 years"
Y25T39;"De 25 à 39 ans";"From 25 to 39 years"
Y40T49;"De 40 à 49 ans";"From 40 to 49 years"
Y50T54;"De 50 à 54 ans";"From 50 to 54 years"
Y_GE55;"55 ans ou plus";"55 years old or older"
_T;"Total";"Total"
