code;libelle français;libelle anglais
AAV2020-397;"Sézanne";"undefined"
AAV2020-160;"Chaumont";"undefined"
AAV2020-188;"Redon";"undefined"
AAV2020-161;"Annonay";"undefined"
AAV2020-189;"Bressuire";"undefined"
AAV2020-036;"Reims";"undefined"
AAV2020-207;"Pontivy";"undefined"
AAV2020-382;"Montmorillon";"undefined"
AAV2020-384;"Saint-Gervais-les-Bains";"undefined"
AAV2020-398;"Bagnères-de-Bigorre";"undefined"
AAV2020-424;"Jarny";"undefined"
AAV2020-065;"Chartres";"undefined"
AAV2020-320;"Feurs";"undefined"
AAV2020-094;"Saint-Quentin";"undefined"
AAV2020-060;"Béziers";"undefined"
AAV2020-425;"Ribérac";"undefined"
AAV2020-089;"Alès";"undefined"
AAV2020-270;"Pithiviers";"undefined"
AAV2020-219;"Mayenne";"undefined"
AAV2020-327;"Limoux";"undefined"
AAV2020-285;"Saint-Jean-de-Maurienne";"undefined"
AAV2020-190;"Pierrelatte";"undefined"
AAV2020-146;"Saint-Dizier";"undefined"
AAV2020-271;"Biars-sur-Cère - Saint-Céré";"undefined"
AAV2020-244;"Château-Gontier-sur-Mayenne";"undefined"
AAV2020-147;"Roussillon";"undefined"
AAV2020-272;"Pleyben - Châteaulin";"undefined"
AAV2020-321;"Évron";"undefined"
AAV2020-232;"Caudry";"undefined"
AAV2020-441;"Saint-Hilaire-du-Harcouët";"undefined"
AAV2020-328;"Loches";"undefined"
AAV2020-385;"Fumel";"undefined"
AAV2020-174;"Beaune";"undefined"
AAV2020-105;"Castres";"undefined"
AAV2020-286;"Belley";"undefined"
AAV2020-322;"Freyming-Merlebach (partie française)";"undefined"
AAV2020-066;"La Roche-sur-Yon";"undefined"
AAV2020-061;"Montbéliard";"undefined"
AAV2020-426;"Delle (partie française)";"undefined"
AAV2020-329;"Moissac";"undefined"
AAV2020-442;"Montbard";"undefined"
AAV2020-245;"Villefranche-de-Rouergue";"undefined"
AAV2020-191;"Sablé-sur-Sarthe";"undefined"
AAV2020-162;"Lisieux";"undefined"
AAV2020-299;"Yvetot";"undefined"
AAV2020-273;"Chauny";"undefined"
AAV2020-139;"Les Sables-d'Olonne";"undefined"
AAV2020-399;"Saint-Martin-de-Crau";"undefined"
AAV2020-106;"Mont-de-Marsan";"undefined"
AAV2020-208;"Vierzon";"undefined"
AAV2020-148;"Carpentras";"undefined"
AAV2020-356;"Castelsarrasin";"undefined"
AAV2020-095;"Épinal";"undefined"
AAV2020-233;"Sarlat-la-Canéda";"undefined"
AAV2020-287;"Fourmies";"undefined"
AAV2020-246;"Friville-Escarbotin";"undefined"
AAV2020-163;"Cluses";"undefined"
AAV2020-323;"Saint-Flour";"undefined"
AAV2020-220;"Fécamp";"undefined"
AAV2020-300;"Saint-Amand-Montrond";"undefined"
AAV2020-274;"Pont-à-Mousson";"undefined"
AAV2020-192;"Saint-Hilaire-de-Riez";"undefined"
AAV2020-410;"Gourdon";"undefined"
AAV2020-400;"Gournay-en-Bray";"undefined"
AAV2020-107;"Montélimar";"undefined"
AAV2020-175;"Marmande";"undefined"
AAV2020-357;"Belleville-en-Beaujolais";"undefined"
AAV2020-411;"Pouzauges";"undefined"
AAV2020-096;"Saint-Omer";"undefined"
AAV2020-234;"Avranches";"undefined"
AAV2020-149;"Morlaix";"undefined"
AAV2020-288;"La Flèche";"undefined"
AAV2020-037;"Nîmes";"undefined"
AAV2020-386;"Ruffec";"undefined"
AAV2020-301;"Le Luc";"undefined"
AAV2020-247;"Étaples - Le Touquet-Paris-Plage";"undefined"
AAV2020-067;"Cholet";"undefined"
AAV2020-221;"Noeux-les-Mines";"undefined"
AAV2020-443;"Lodève";"undefined"
AAV2020-235;"Berck";"undefined"
AAV2020-358;"Carentan-les-Marais";"undefined"
AAV2020-150;"Arles";"undefined"
AAV2020-427;"Embrun";"undefined"
AAV2020-097;"Nevers";"undefined"
AAV2020-387;"Essarts-en-Bocage";"undefined"
AAV2020-248;"Eu";"undefined"
AAV2020-289;"Landivisiau";"undefined"
AAV2020-444;"Le Pouliguen";"undefined"
AAV2020-038;"Valenciennes (partie française)";"undefined"
AAV2020-209;"Château-Thierry";"undefined"
AAV2020-068;"Boulogne-sur-Mer";"undefined"
AAV2020-412;"Nyons";"undefined"
AAV2020-330;"Decazeville";"undefined"
AAV2020-222;"Beaucaire";"undefined"
AAV2020-151;"Thonon-les-Bains";"undefined"
AAV2020-193;"Verdun";"undefined"
AAV2020-249;"Sallanches";"undefined"
AAV2020-098;"Ajaccio";"undefined"
AAV2020-164;"Abbeville";"undefined"
AAV2020-236;"Hazebrouck";"undefined"
AAV2020-445;"Pauillac";"undefined"
AAV2020-069;"Arras";"undefined"
AAV2020-359;"Vaison-la-Romaine";"undefined"
AAV2020-176;"Montceau-les-Mines";"undefined"
AAV2020-275;"Apt";"undefined"
AAV2020-324;"Brioude";"undefined"
AAV2020-140;"Rochefort";"undefined"
AAV2020-290;"Briançon";"undefined"
AAV2020-165;"Orange";"undefined"
AAV2020-413;"Nogent-sur-Seine";"undefined"
AAV2020-250;"Val de Briey";"undefined"
AAV2020-302;"Capbreton";"undefined"
AAV2020-108;"Cambrai";"undefined"
AAV2020-070;"Chalon-sur-Saône";"undefined"
AAV2020-446;"Tournus";"undefined"
AAV2020-325;"Uzès";"undefined"
AAV2020-428;"Sully-sur-Loire";"undefined"
AAV2020-177;"Bar-le-Duc";"undefined"
AAV2020-360;"Pineuilh";"undefined"
AAV2020-251;"Digne-les-Bains";"undefined"
AAV2020-388;"Saint-Yrieix-la-Perche";"undefined"
AAV2020-166;"Agde";"undefined"
AAV2020-223;"Châteaudun";"undefined"
AAV2020-071;"Cherbourg-en-Cotentin";"undefined"
AAV2020-276;"Gray";"undefined"
AAV2020-326;"Joigny";"undefined"
AAV2020-331;"Ambert";"undefined"
AAV2020-109;"Montluçon";"undefined"
AAV2020-237;"Pont-Audemer";"undefined"
AAV2020-252;"Nogent-le-Rotrou";"undefined"
AAV2020-039;"Le Havre";"undefined"
AAV2020-178;"Saint-Avold (partie française)";"undefined"
AAV2020-361;"Nérac";"undefined"
AAV2020-167;"Albertville";"undefined"
AAV2020-447;"La Châtaigneraie";"undefined"
AAV2020-194;"Issoire";"undefined"
AAV2020-414;"Corte";"undefined"
AAV2020-110;"Vichy";"undefined"
AAV2020-238;"Trouville-sur-Mer";"undefined"
AAV2020-210;"Montbrison";"undefined"
AAV2020-072;"Narbonne";"undefined"
AAV2020-253;"Oloron-Sainte-Marie";"undefined"
AAV2020-401;"Roye";"undefined"
AAV2020-389;"Bar-sur-Aube";"undefined"
AAV2020-179;"Guéret";"undefined"
AAV2020-111;"Dax";"undefined"
AAV2020-195;"Saint-Gaudens";"undefined"
AAV2020-429;"Saint-Florentin";"undefined"
AAV2020-291;"Lure";"undefined"
AAV2020-040;"Avignon";"undefined"
AAV2020-100;"Châteauroux";"undefined"
