code;libelle français;libelle anglais
Y15T24;"De 15 à 24 ans ";"From 15 to 24 years"
Y1T14;"De 1 à 14 ans";"From 1 to 14 years"
Y25T54;"De 25 à 54 ans";"From 25 to 54 years"
Y_GE1;"1 an ou plus";"1 year or older"
Y_GE55;"55 ans ou plus";"55 years old or older"
_Z;"Non applicable";"Not applicable"
_T;"Total";"Total"
