code;libelle français;libelle anglais
1;"Actif occupé";"Occupied active"
2;"Chômeur";"Unemployed"
33;"Élève étudiant stagiaire non rémunéré de 14 ans ou plus";"Students or interns aged 14 years or more"
31;"Retraité ou préretraité";"Retired or pre-retired"
35;"Femme ou homme au foyer";"House wife or husband"
36;"Autre inactif";"Other inactives "
_T;"Total";"Total"
