code;libelle français;libelle anglais
Y11T14;"De 11 à 14 ans";"From 11 to 14 years"
Y15T17;"De 15 à 17 ans";"From 15 to 17 years"
Y18T24;"De 18 à 24 ans";"From 18 to 24 years"
Y25T29;"De 25 à 29 ans";"From 25 to 29 years"
Y2T5;"De 2 à 5 ans";"From 2 to 5 years"
Y6T10;"De 6 à 10 ans";"From 6 to 10 years"
Y_GE30;"30 ans ou plus";"30 years old or older"
