code;libelle français;libelle anglais
MED_SL;"Niveau de vie médian (en euros)";"Median standard of living (in euros)"
PR_MD60;"Taux de pauvreté (en %) au seuil de 60 % de la médiane du niveau de vie";"Poverty rate (in %) at 60% of the median standard of living"
