code;libelle français;libelle anglais
C1;"Enseignement du premier degré";"Primary education"
C2;"Enseignement du second degré - premier cycle";"Secondary education - first cycle"
C3;"Enseignement du second degré - second cycle";"Secondary education - second cycle"
C4;"Enseignement supérieur non-universitaire";"Non-university higher education"
C5;"Enseignement supérieur universitaire";"University higher education"
C6;"Formation continue";"Continuing education"
C7;"Autres services de l'éducation";"Other education services"
