code;libelle français;libelle anglais
FACILITIES;"Nombre d'équipements";"Number of facilities"
PLAYGROUNDS;"Nombre d'aires de pratiques sportives d'un même type";"Number of sports practice areas of the same type"
ROOMS;"Nombre de salles de cinéma ou théâtre";"Number of cinemas or theaters"
