code;libelle français;libelle anglais
MUN;"Élection municipale";"Municipal election "
DEP_REG;"Élections départementale et régionale";"Departmental and regional elections"
PR;"Élection présidentielle";"Presidential election"
EUR;"Élection européenne";"European election "
LEG;"Élection législative";"Legislative election "
