code;libelle français;libelle anglais
110;"Homme seul";"Lone man"
111;"Femme seule";"Lone woman"
221_FILOSOFI;"Ménage avec couple sans enfant";"Household with couple without children"
222_FILOSOFI;"Ménage avec couple et enfant";"Household with couple and children"
21;"Ménage avec famille monoparentale";"Household with single parent family"
3;"Ménage comprenant deux familles ou plus autrement appelé ménage complexe";"Household with two familly nuclea or more also called complex household"
_T;"Total";"Total"
