code;libelle français;libelle anglais
R1;"1 pièce";"1 room"
R2;"2 pièces";"2 rooms"
R4;"4 pièces";"4 rooms"
R3;"3 pièces";"3 rooms"
R_GE5;"5 pièces ou plus";"5 rooms and more"
_T;"Total";"Total"
