code;libelle français;libelle anglais
1;"1 étoile";"1 star"
2;"2 étoiles";"2 stars"
3;"3 étoiles";"3 stars"
4;"4 étoiles";"4 stars"
5;"5 étoiles";"5 stars"
NC;"Non classé";"Non rated"
_T;"Total";"Total"
