code;libelle français;libelle anglais
Y1919T1945;"De 1919 à 1945";"1919-1945"
Y1971T1990;"De 1971 à 1990";"1971-1990"
Y1991T2005;"De 1991 à 2005";"1991-2005"
Y1946T1970;"De 1946 à 1970";"1946-1970"
Y_LT1919;"Avant 1919";"Before 1919"
Y2006TAAAA;"De 2006 à AAAA";"2006-AAAA"
_T;"Total";"Total"
