code;libelle français;libelle anglais
100;"Propriétaire";"Owner"
211;"Locataire de logement parc privé vide";"Tenant in private housing market unfurnished"
221;"Locataire de logement parc social vide";"Tenant in social housing unfurnished"
300;"Logé gratuitement";"Housed for free"
212_222;"Locataire de logement meublé";"Tenant in furnished housing"
_T;"Total";"Total"
