code;libelle français;libelle anglais
11;"Famille avec un père seul";"Famille avec un père seul"
12;"Famille avec une mère seule";"Famille avec une mère seule"
22;"Famille comprenant un couple avec enfant résident";"Famille comprenant un couple avec enfant résident"
220;"Famille recomposée";"Famille recomposée"
21;"Famille comprenant un couple sans enfant résident";"Famille comprenant un couple sans enfant résident"
223;"Famille traditionnelle";"Famille traditionnelle"
_T;"Total";"Total"
