code;libelle français;libelle anglais
10;"Entrepreneur individuel";"Entrepreneur individuel"
54;"Société à responsabilité limitée (SARL)";"Société à responsabilité limitée (SARL)"
57;"Société par actions simplifiée";"Société par actions simplifiée"
OTH_SIDE;"Autres sociétés";"Other Enterprise"
_T;"Total";"Total"
