code;libelle français;libelle anglais
1;"Pas de transport";"No travel"
2;"Marche à pied";"Walking (or rollerblading, skating)"
4;"Deux-roues motorisé";"Motorized two-wheeler"
5;"Voiture, camion ou fourgonnette";"Car, truck or van"
3;"Vélo";"Bicycle (including electric)"
6;"Transport en commun";"Public transportation"
3T4;"Deux-roues";"Two-wheeler"
_T;"Total";"Total"
