code;libelle français;libelle anglais
10;"Dans la commune de résidence actuelle";"In the commune of current residence"
21;"Autre commune du département";"Other commune in the department"
22;"Autre département de la région";"Other department in the region"
24T30;"Autre région hors métropole (yc étranger)";"Other regions outside mainland France (incl. abroad)"
20_30;"Dans une autre commune";"Other commune"
23;"Hors de la région en métropole";"Outside the region in metropolitan France"
_T;"Total";"Total"
