code;libelle français;libelle anglais
AAV2020-142;"Saint-Dié-des-Vosges";"undefined"
AAV2020-152;"Cognac";"undefined"
AAV2020-160;"Chaumont";"undefined"
AAV2020-168;"Oyonnax";"undefined"
AAV2020-135;"Salon-de-Provence";"undefined"
AAV2020-176;"Montceau-les-Mines";"undefined"
AAV2020-153;"Cahors";"undefined"
AAV2020-161;"Annonay";"undefined"
AAV2020-169;"Vitré";"undefined"
AAV2020-183;"Le Creusot";"undefined"
AAV2020-184;"Longwy";"undefined"
AAV2020-143;"Aubenas";"undefined"
AAV2020-136;"Laon";"undefined"
AAV2020-177;"Bar-le-Duc";"undefined"
AAV2020-154;"Villeneuve-sur-Lot";"undefined"
AAV2020-162;"Lisieux";"undefined"
AAV2020-170;"Sarrebourg";"undefined"
AAV2020-185;"Bagnols-sur-Cèze";"undefined"
AAV2020-144;"Louviers";"undefined"
AAV2020-155;"Ancenis-Saint-Géréon";"undefined"
AAV2020-178;"Saint-Avold (partie française)";"undefined"
AAV2020-163;"Cluses";"undefined"
AAV2020-186;"Granville";"undefined"
AAV2020-193;"Verdun";"undefined"
AAV2020-171;"Flers";"undefined"
AAV2020-179;"Guéret";"undefined"
AAV2020-194;"Issoire";"undefined"
AAV2020-187;"Dinan";"undefined"
AAV2020-164;"Abbeville";"undefined"
AAV2020-172;"Fougères";"undefined"
AAV2020-145;"Auch";"undefined"
AAV2020-188;"Redon";"undefined"
AAV2020-195;"Saint-Gaudens";"undefined"
AAV2020-173;"Les Herbiers";"undefined"
AAV2020-180;"Challans";"undefined"
AAV2020-202;"Montaigu-Vendée";"undefined"
AAV2020-203;"Romorantin-Lanthenay";"undefined"
AAV2020-211;"Arcachon - La Teste-de-Buch";"undefined"
AAV2020-181;"Pontarlier";"undefined"
AAV2020-212;"Chemillé-en-Anjou";"undefined"
AAV2020-204;"Fontenay-le-Comte";"undefined"
AAV2020-196;"Gien";"undefined"
AAV2020-189;"Bressuire";"undefined"
AAV2020-220;"Fécamp";"undefined"
AAV2020-221;"Noeux-les-Mines";"undefined"
AAV2020-182;"Vendôme";"undefined"
AAV2020-213;"Brignoles";"undefined"
AAV2020-205;"Coutances";"undefined"
AAV2020-197;"Forbach (partie française)";"undefined"
AAV2020-206;"Tulle";"undefined"
AAV2020-214;"Quimperlé";"undefined"
AAV2020-230;"Bernay";"undefined"
AAV2020-198;"Vire Normandie";"undefined"
AAV2020-190;"Pierrelatte";"undefined"
AAV2020-222;"Beaucaire";"undefined"
AAV2020-215;"Argentan";"undefined"
AAV2020-199;"Pamiers";"undefined"
AAV2020-207;"Pontivy";"undefined"
AAV2020-231;"Pornic";"undefined"
AAV2020-239;"Autun";"undefined"
AAV2020-191;"Sablé-sur-Sarthe";"undefined"
AAV2020-240;"Remiremont";"undefined"
AAV2020-208;"Vierzon";"undefined"
AAV2020-200;"Sète";"undefined"
AAV2020-232;"Caudry";"undefined"
AAV2020-223;"Châteaudun";"undefined"
AAV2020-216;"Sedan";"undefined"
AAV2020-248;"Eu";"undefined"
AAV2020-192;"Saint-Hilaire-de-Riez";"undefined"
AAV2020-249;"Sallanches";"undefined"
AAV2020-233;"Sarlat-la-Canéda";"undefined"
AAV2020-209;"Château-Thierry";"undefined"
AAV2020-201;"Cavaillon";"undefined"
AAV2020-217;"Thouars";"undefined"
AAV2020-250;"Val de Briey";"undefined"
AAV2020-258;"Segré-en-Anjou Bleu";"undefined"
AAV2020-241;"Parthenay";"undefined"
AAV2020-234;"Avranches";"undefined"
AAV2020-224;"Millau";"undefined"
AAV2020-210;"Montbrison";"undefined"
AAV2020-251;"Digne-les-Bains";"undefined"
AAV2020-218;"Vitry-le-François";"undefined"
AAV2020-259;"Luxeuil-les-Bains";"undefined"
AAV2020-235;"Berck";"undefined"
AAV2020-267;"Privas";"undefined"
AAV2020-252;"Nogent-le-Rotrou";"undefined"
AAV2020-268;"Castelnaudary";"undefined"
AAV2020-236;"Hazebrouck";"undefined"
AAV2020-253;"Oloron-Sainte-Marie";"undefined"
AAV2020-219;"Mayenne";"undefined"
AAV2020-260;"Langres";"undefined"
AAV2020-237;"Pont-Audemer";"undefined"
AAV2020-242;"Noyon";"undefined"
AAV2020-225;"Thiers";"undefined"
AAV2020-254;"Cosne-Cours-sur-Loire";"undefined"
AAV2020-276;"Gray";"undefined"
AAV2020-269;"Miramas";"undefined"
AAV2020-261;"Hendaye (partie française)";"undefined"
AAV2020-277;"Péronne";"undefined"
AAV2020-243;"Ambérieu-en-Bugey";"undefined"
AAV2020-255;"Ploërmel";"undefined"
AAV2020-226;"Figeac";"undefined"
AAV2020-285;"Saint-Jean-de-Maurienne";"undefined"
AAV2020-238;"Trouville-sur-Mer";"undefined"
AAV2020-286;"Belley";"undefined"
AAV2020-270;"Pithiviers";"undefined"
AAV2020-278;"Mende";"undefined"
AAV2020-262;"L'Aigle";"undefined"
