code;libelle français;libelle anglais
I551;"Hôtels et hébergement similaire";"Hotels and similar accommodation"
I552;"Hébergement touristique et autre hébergement de courte durée";"Holiday and other short-stay accommodation"
I552A;"Villages vacances et maisons familiales";"Holiday villages and family homes"
I552B;"Résidences de tourisme – Résidences hôtelières";"Tourist residences - Hotel residences"
I552C;"Auberges de jeunesse et centres sportifs";"Youth hostels and sports centres"
I553;"Terrains de camping et parcs pour caravanes ou véhicules de loisirs";"Camping grounds, recreational vehicle parks and trailer parks"
