code;libelle français;libelle anglais
1;"Marié";"Married"
2;"Pacsé";"Pacsé"
3;"En concubinage, union libre";"En concubinage, union libre"
5;"Divorcé";"Divorced"
6;"Célibataire";"Single"
4;"Veuf";"Widowed"
2T6;"Non marié";"Unmarried"
_T;"Total";"Total"
