code;libelle français;libelle anglais
1T3;"Cadres y compris chefs d’entreprises";"Managers including business owners"
4;"Professions intermédiaires";"Intermediate professions"
5;"Employés";"Employees"
6;"Ouvriers";"Workers"
_T;"Total";"Total"
